Case_ID,Date,Time,Police_Station,Specific_Location,Crime_Type,Status
BP-2025-1025,2025-01-04,02:00,Koh-e-Fiza,VIP Road,Vehicle Theft,Chargesheet Filed
BP-2025-1041,2025-01-05,14:00,Arera Colony,10 No. Bus Stop,Vehicle Theft,Registered (Under Investigation)
BP-2025-1011,2025-01-17,10:45,Misrod,Hoshangabad Road Mall Strip,Mobile Snatching,Untraced (Closed)
BP-2025-1049,2025-01-19,11:15,Bairagarh,Railway Station Road,Vehicle Theft,Chargesheet Filed
BP-2025-1118,2025-01-21,13:30,Misrod,Hoshangabad Road Mall Strip,Vehicle Theft,Registered (Under Investigation)
BP-2025-1090,2025-01-22,11:45,TT Nagar,New Market,Vehicle Theft,Registered (Under Investigation)
BP-2025-1007,2025-01-24,21:15,Misrod,Hoshangabad Road Mall Strip,Online Scam / Cyber Fraud Reporting,Registered (Under Investigation)
BP-2025-1104,2025-01-24,01:30,Ashoka Garden,Subhash Nagar,Vehicle Theft,Registered (Under Investigation)
BP-2025-1046,2025-01-27,02:45,Misrod,Hoshangabad Road Mall Strip,Vehicle Theft,Chargesheet Filed
BP-2025-1106,2025-01-27,08:45,Arera Colony,E-7 Sector Market,Shoplifting,Registered (Under Investigation)
BP-2025-1036,2025-01-30,18:00,TT Nagar,New Market,Shoplifting,Untraced (Closed)
BP-2025-1084,2025-02-05,20:00,MP Nagar,Zone-2 Commercial Complex,Mobile Snatching,Registered (Under Investigation)
BP-2025-1026,2025-02-06,16:15,Misrod,Bairagarh Chiku,Mobile Snatching,Untraced (Closed)
BP-2025-1067,2025-02-07,14:45,Koh-e-Fiza,Hospital Road,Pickpocketing,Chargesheet Filed
BP-2025-1073,2025-02-09,22:30,Koh-e-Fiza,Ahmedabad Palace Area,Vehicle Theft,Untraced (Closed)
BP-2025-1074,2025-02-11,04:15,Koh-e-Fiza,Hospital Road,Public Nuisance,Registered (Under Investigation)
BP-2025-1021,2025-02-13,23:45,Arera Colony,10 No. Bus Stop,Shoplifting,Untraced (Closed)
BP-2025-1098,2025-02-17,09:15,Bairagarh,Railway Station Road,Burglary,Untraced (Closed)
BP-2025-1032,2025-02-20,01:00,Arera Colony,10 No. Bus Stop,Shoplifting,Chargesheet Filed
BP-2025-1008,2025-02-21,12:30,Chhola Mandir,Krishi Mandi Area,Mobile Snatching,Chargesheet Filed
BP-2025-1001,2025-02-22,21:00,Bairagarh,Main Cloth Market,Mobile Snatching,Registered (Under Investigation)
BP-2025-1101,2025-03-03,23:15,TT Nagar,New Market,Pickpocketing,Registered (Under Investigation)
BP-2025-1047,2025-03-08,20:30,Ashoka Garden,Subhash Nagar,Shoplifting,Untraced (Closed)
BP-2025-1027,2025-03-09,23:45,Koh-e-Fiza,Hospital Road,Online Scam / Cyber Fraud Reporting,Chargesheet Filed
BP-2025-1044,2025-03-10,08:00,Arera Colony,10 No. Bus Stop,Vehicle Theft,Untraced (Closed)
BP-2025-1014,2025-03-12,16:45,Arera Colony,E-7 Sector Market,Mobile Snatching,Registered (Under Investigation)
BP-2025-1013,2025-03-13,07:30,Bairagarh,Sant Hirdaram Nagar,Burglary,Registered (Under Investigation)
BP-2025-1115,2025-03-18,08:15,Arera Colony,E-7 Sector Market,Vehicle Theft,Untraced (Closed)
BP-2025-1004,2025-03-21,06:30,Arera Colony,E-7 Sector Market,Mobile Snatching,Chargesheet Filed
BP-2025-1112,2025-03-22,00:45,Chhola Mandir,Station Road,Burglary,Registered (Under Investigation)
BP-2025-1022,2025-03-26,08:45,Koh-e-Fiza,Khanugaon,Public Nuisance,Chargesheet Filed
BP-2025-1052,2025-04-01,13:00,Ashoka Garden,Industrial Area Road,Vehicle Theft,Untraced (Closed)
BP-2025-1028,2025-04-08,03:00,Bairagarh,Halalpura Bus Stand,Pickpocketing,Chargesheet Filed
BP-2025-1066,2025-04-12,04:00,MP Nagar,Zone-2 Commercial Complex,Pickpocketing,Untraced (Closed)
BP-2025-1045,2025-04-18,22:30,Koh-e-Fiza,Ahmedabad Palace Area,Vehicle Theft,Chargesheet Filed
BP-2025-1102,2025-04-21,23:45,Misrod,Salaiya Road,Vehicle Theft,Registered (Under Investigation)
BP-2025-1055,2025-04-25,00:15,Bairagarh,Halalpura Bus Stand,Burglary,Registered (Under Investigation)
BP-2025-1024,2025-04-26,02:30,MP Nagar,Zone-2 Commercial Complex,Shoplifting,Registered (Under Investigation)
BP-2025-1113,2025-04-29,09:30,Chhola Mandir,Navbahar Colony,Public Nuisance,Registered (Under Investigation)
BP-2025-1002,2025-04-30,16:00,Koh-e-Fiza,Hospital Road,Mobile Snatching,Chargesheet Filed
BP-2025-1038,2025-05-01,12:00,Koh-e-Fiza,VIP Road,Shoplifting,Registered (Under Investigation)
BP-2025-1068,2025-05-05,04:00,Arera Colony,Link Road No. 3,Mobile Snatching,Registered (Under Investigation)
BP-2025-1072,2025-05-07,20:30,Chhola Mandir,Kazi Camp Road,Burglary,Chargesheet Filed
BP-2025-1030,2025-05-08,06:15,Chhola Mandir,Kazi Camp Road,Pickpocketing,Registered (Under Investigation)
BP-2025-1053,2025-05-08,08:15,Arera Colony,Link Road No. 3,Online Scam / Cyber Fraud Reporting,Registered (Under Investigation)
BP-2025-1083,2025-05-10,02:45,MP Nagar,Zone-1 Market,Pickpocketing,Untraced (Closed)
BP-2025-1018,2025-05-15,16:15,Arera Colony,Bittan Market,Pickpocketing,Registered (Under Investigation)
BP-2025-1040,2025-05-16,12:15,Misrod,Bairagarh Chiku,Burglary,Registered (Under Investigation)
BP-2025-1114,2025-05-16,20:15,Bairagarh,Main Cloth Market,Pickpocketing,Untraced (Closed)
BP-2025-1031,2025-05-23,14:15,Arera Colony,Link Road No. 3,Online Scam / Cyber Fraud Reporting,Untraced (Closed)
BP-2025-1056,2025-05-23,11:45,TT Nagar,New Market,Vehicle Theft,Registered (Under Investigation)
BP-2025-1094,2025-05-23,14:15,Chhola Mandir,Station Road,Burglary,Registered (Under Investigation)
BP-2025-1065,2025-05-26,16:30,Arera Colony,10 No. Bus Stop,Vehicle Theft,Registered (Under Investigation)
BP-2025-1103,2025-06-01,07:30,Ashoka Garden,Industrial Area Road,Burglary,Chargesheet Filed
BP-2025-1063,2025-06-05,09:15,Bairagarh,Halalpura Bus Stand,Pickpocketing,Chargesheet Filed
BP-2025-1108,2025-06-05,02:15,Arera Colony,Link Road No. 3,Shoplifting,Untraced (Closed)
BP-2025-1058,2025-06-10,13:00,Bairagarh,Railway Station Road,Burglary,Registered (Under Investigation)
BP-2025-1012,2025-06-11,06:45,Bairagarh,Sant Hirdaram Nagar,Mobile Snatching,Chargesheet Filed
BP-2025-1060,2025-06-19,19:30,Arera Colony,Bittan Market,Vehicle Theft,Untraced (Closed)
BP-2025-1100,2025-06-19,11:45,Misrod,Salaiya Road,Burglary,Registered (Under Investigation)
BP-2025-1017,2025-06-24,03:30,Bairagarh,Railway Station Road,Pickpocketing,Registered (Under Investigation)
BP-2025-1096,2025-06-24,08:30,MP Nagar,Zone-2 Commercial Complex,Vehicle Theft,Registered (Under Investigation)
BP-2025-1005,2025-06-26,19:30,MP Nagar,Chetak Bridge Crossing,Shoplifting,Registered (Under Investigation)
BP-2025-1042,2025-06-28,02:15,TT Nagar,Platinum Plaza Road,Mobile Snatching,Chargesheet Filed
BP-2025-1009,2025-07-01,06:30,Arera Colony,10 No. Bus Stop,Pickpocketing,Registered (Under Investigation)
BP-2025-1051,2025-07-01,17:45,Ashoka Garden,Prabhat Square,Online Scam / Cyber Fraud Reporting,Registered (Under Investigation)
BP-2025-1020,2025-07-05,09:15,MP Nagar,Zone-2 Commercial Complex,Shoplifting,Registered (Under Investigation)
BP-2025-1050,2025-07-06,01:30,Koh-e-Fiza,Khanugaon,Public Nuisance,Registered (Under Investigation)
BP-2025-1019,2025-07-11,05:00,TT Nagar,Malviya Nagar,Vehicle Theft,Registered (Under Investigation)
BP-2025-1006,2025-07-13,02:30,TT Nagar,Roshanpura Square,Public Nuisance,Registered (Under Investigation)
BP-2025-1062,2025-07-14,21:15,Misrod,Bairagarh Chiku,Shoplifting,Registered (Under Investigation)
BP-2025-1034,2025-07-19,08:45,Misrod,Bairagarh Chiku,Public Nuisance,Untraced (Closed)
BP-2025-1078,2025-07-19,13:15,Chhola Mandir,Kazi Camp Road,Burglary,Chargesheet Filed
BP-2025-1023,2025-07-24,21:30,Chhola Mandir,Station Road,Vehicle Theft,Registered (Under Investigation)
BP-2025-1097,2025-07-28,15:15,Chhola Mandir,Station Road,Pickpocketing,Registered (Under Investigation)
BP-2025-1061,2025-07-29,10:45,Misrod,Surendra Palace,Vehicle Theft,Untraced (Closed)
BP-2025-1039,2025-08-03,21:30,Misrod,Surendra Palace,Vehicle Theft,Registered (Under Investigation)
BP-2025-1091,2025-08-04,15:00,Bairagarh,Halalpura Bus Stand,Public Nuisance,Chargesheet Filed
BP-2025-1048,2025-08-07,17:00,Arera Colony,E-7 Sector Market,Pickpocketing,Untraced (Closed)
BP-2025-1110,2025-08-08,09:00,Arera Colony,10 No. Bus Stop,Pickpocketing,Chargesheet Filed
BP-2025-1093,2025-08-12,23:30,TT Nagar,Roshanpura Square,Online Scam / Cyber Fraud Reporting,Registered (Under Investigation)
BP-2025-1064,2025-08-15,21:15,Chhola Mandir,Kazi Camp Road,Public Nuisance,Registered (Under Investigation)
BP-2025-1082,2025-08-21,10:30,Bairagarh,Halalpura Bus Stand,Online Scam / Cyber Fraud Reporting,Chargesheet Filed
BP-2025-1070,2025-08-22,04:45,TT Nagar,Malviya Nagar,Shoplifting,Untraced (Closed)
BP-2025-1010,2025-08-25,12:30,Koh-e-Fiza,Ahmedabad Palace Area,Burglary,Registered (Under Investigation)
BP-2025-1081,2025-08-25,05:00,Misrod,Bairagarh Chiku,Burglary,Registered (Under Investigation)
BP-2025-1076,2025-08-27,13:00,Koh-e-Fiza,Hospital Road,Pickpocketing,Untraced (Closed)
BP-2025-1016,2025-08-28,16:30,MP Nagar,Zone-1 Market,Vehicle Theft,Untraced (Closed)
BP-2025-1029,2025-08-28,23:00,Arera Colony,E-7 Sector Market,Vehicle Theft,Registered (Under Investigation)
BP-2025-1080,2025-08-28,04:00,Bairagarh,Main Cloth Market,Shoplifting,Registered (Under Investigation)
BP-2025-1054,2025-08-29,07:15,Chhola Mandir,Krishi Mandi Area,Burglary,Registered (Under Investigation)
BP-2025-1033,2025-09-04,06:45,MP Nagar,Zone-2 Commercial Complex,Pickpocketing,Registered (Under Investigation)
BP-2025-1079,2025-09-06,00:45,TT Nagar,Malviya Nagar,Public Nuisance,Registered (Under Investigation)
BP-2025-1095,2025-09-11,10:15,Chhola Mandir,Kazi Camp Road,Burglary,Chargesheet Filed
BP-2025-1071,2025-09-16,13:45,Ashoka Garden,Subhash Nagar,Pickpocketing,Chargesheet Filed
BP-2025-1037,2025-09-29,05:00,Arera Colony,10 No. Bus Stop,Mobile Snatching,Untraced (Closed)
BP-2025-1043,2025-10-06,22:30,MP Nagar,Jyoti Cineplex Road,Public Nuisance,Registered (Under Investigation)
BP-2025-1035,2025-10-12,21:45,Ashoka Garden,Prabhat Square,Burglary,Registered (Under Investigation)
BP-2025-1086,2025-10-16,06:45,Misrod,Salaiya Road,Mobile Snatching,Untraced (Closed)
BP-2025-1116,2025-10-19,09:45,Arera Colony,Link Road No. 3,Public Nuisance,Chargesheet Filed
BP-2025-1105,2025-10-21,09:45,Chhola Mandir,Station Road,Burglary,Registered (Under Investigation)
BP-2025-1088,2025-10-22,21:45,Bairagarh,Railway Station Road,Vehicle Theft,Untraced (Closed)
BP-2025-1107,2025-10-23,20:00,Ashoka Garden,Prabhat Square,Online Scam / Cyber Fraud Reporting,Untraced (Closed)
BP-2025-1057,2025-10-25,08:00,Arera Colony,Link Road No. 3,Burglary,Untraced (Closed)
BP-2025-1099,2025-10-25,11:45,TT Nagar,Malviya Nagar,Public Nuisance,Untraced (Closed)
BP-2025-1003,2025-10-29,08:00,Ashoka Garden,Subhash Nagar,Burglary,Chargesheet Filed
BP-2025-1087,2025-11-07,23:00,Ashoka Garden,Industrial Area Road,Burglary,Chargesheet Filed
BP-2025-1109,2025-11-13,07:45,Chhola Mandir,Station Road,Burglary,Untraced (Closed)
BP-2025-1085,2025-11-15,04:15,Ashoka Garden,Subhash Nagar,Public Nuisance,Registered (Under Investigation)
BP-2025-1015,2025-11-18,05:45,Arera Colony,Link Road No. 3,Pickpocketing,Untraced (Closed)
BP-2025-1000,2025-11-24,03:00,Misrod,Surendra Palace,Burglary,Untraced (Closed)
BP-2025-1111,2025-12-05,02:15,Koh-e-Fiza,Khanugaon,Shoplifting,Registered (Under Investigation)
BP-2025-1119,2025-12-12,18:00,Misrod,Hoshangabad Road Mall Strip,Online Scam / Cyber Fraud Reporting,Registered (Under Investigation)
BP-2025-1089,2025-12-20,20:15,Arera Colony,Bittan Market,Mobile Snatching,Untraced (Closed)
BP-2025-1069,2025-12-23,16:45,MP Nagar,Zone-2 Commercial Complex,Online Scam / Cyber Fraud Reporting,Registered (Under Investigation)
BP-2025-1077,2025-12-23,00:45,Chhola Mandir,Navbahar Colony,Burglary,Chargesheet Filed
BP-2025-1117,2025-12-25,12:30,Chhola Mandir,Station Road,Vehicle Theft,Untraced (Closed)
BP-2025-1075,2025-12-28,06:00,Bairagarh,Sant Hirdaram Nagar,Burglary,Untraced (Closed)
BP-2025-1059,2025-12-29,13:00,Koh-e-Fiza,Ahmedabad Palace Area,Burglary,Untraced (Closed)
BP-2025-1092,2025-12-29,04:45,Ashoka Garden,Industrial Area Road,Vehicle Theft,Chargesheet Filed
